,problem,structure,n_variables,repetition
0,FeatSelect,SPECTF_n27_k6,27,0.0
1,FeatSelect,USPS_n27_k8,27,0.0
2,FeatSelect,spambase_n27_k7,27,0.0
3,FeatSelect,waveform-5000_n27_k5,27,0.0
4,NumPart,1 to n,27,0.0
5,NumPart,geometric,27,0.0
6,NumPart,poisson,27,0.0
7,NumPart,uniform,27,0.0
8,QKnap,almost_diagonal,27,0.0
9,QKnap,diagonal,27,0.0
10,QKnap,enlarged_diagonal,27,0.0
11,QKnap,random,27,0.0
12,commDet,2d_grid_topology,27,0.0
13,commDet,cycle_topology,27,0.0
14,commDet,random_topology,27,0.0
15,commDet,star_topology,27,0.0
16,maxClique,2d_grid_topology,27,0.0
17,maxClique,cycle_topology,27,0.0
18,maxClique,random_topology,27,0.0
19,maxClique,star_topology,27,0.0
20,maxCut,2d_grid_topology,27,0.0
21,maxCut,cycle_topology,27,0.0
22,maxCut,random_topology,27,0.0
23,maxCut,star_topology,27,0.0
24,mis,2d_grid_topology,27,0.0
25,mis,cycle_topology,27,0.0
26,mis,random_topology,27,0.0
27,mis,star_topology,27,0.0
28,mvc,2d_grid_topology,27,0.0
29,mvc,cycle_topology,27,0.0
30,mvc,random_topology,27,0.0
31,mvc,star_topology,27,0.0
32,setPack,almost_diagonal,27,0.0
33,setPack,disjoint_rows,27,0.0
34,setPack,random,27,0.0
35,setPack,steps,27,0.0
36,FeatSelect,Bioresponse_n28_k7,28,0.0
37,FeatSelect,gisette_n28_k6,28,0.0
38,FeatSelect,isolet_n28_k5,28,0.0
39,FeatSelect,waveform-5000_n28_k8,28,0.0
40,NumPart,1 to n,28,0.0
41,NumPart,geometric,28,0.0
42,NumPart,poisson,28,0.0
43,NumPart,uniform,28,0.0
44,QKnap,almost_diagonal,28,0.0
45,QKnap,diagonal,28,0.0
46,QKnap,enlarged_diagonal,28,0.0
47,QKnap,random,28,0.0
48,commDet,2d_grid_topology,28,0.0
49,commDet,cycle_topology,28,0.0
50,commDet,random_topology,28,0.0
51,commDet,star_topology,28,0.0
52,maxClique,2d_grid_topology,28,0.0
53,maxClique,cycle_topology,28,0.0
54,maxClique,random_topology,28,0.0
55,maxClique,star_topology,28,0.0
56,maxCut,2d_grid_topology,28,0.0
57,maxCut,cycle_topology,28,0.0
58,maxCut,random_topology,28,0.0
59,maxCut,star_topology,28,0.0
60,mis,2d_grid_topology,28,0.0
61,mis,cycle_topology,28,0.0
62,mis,random_topology,28,0.0
63,mis,star_topology,28,0.0
64,mvc,2d_grid_topology,28,0.0
65,mvc,cycle_topology,28,0.0
66,mvc,random_topology,28,0.0
67,mvc,star_topology,28,0.0
68,setPack,almost_diagonal,28,0.0
69,setPack,disjoint_rows,28,0.0
70,setPack,random,28,0.0
71,setPack,steps,28,0.0
72,sudoku,sudoku12_n28,28,0.0
73,sudoku,sudoku1_n28,28,0.0
74,sudoku,sudoku20_n28,28,0.0
75,sudoku,sudoku25_n28,28,0.0
76,sudoku,sudoku28_n28,28,0.0
77,sudoku,sudoku4_n28,28,0.0
78,sudoku,sudoku6_n28,28,0.0
79,sudoku,sudoku7_n28,28,0.0
80,FeatSelect,SPECTF_n29_k5,29,0.0
81,FeatSelect,USPS_n29_k7,29,0.0
82,FeatSelect,isolet_n29_k8,29,0.0
83,FeatSelect,spambase_n29_k6,29,0.0
84,NumPart,1 to n,29,0.0
85,NumPart,geometric,29,0.0
86,NumPart,poisson,29,0.0
87,NumPart,uniform,29,0.0
88,QKnap,almost_diagonal,29,0.0
89,QKnap,diagonal,29,0.0
90,QKnap,enlarged_diagonal,29,0.0
91,QKnap,random,29,0.0
92,commDet,2d_grid_topology,29,0.0
93,commDet,cycle_topology,29,0.0
94,commDet,random_topology,29,0.0
95,commDet,star_topology,29,0.0
96,maxClique,2d_grid_topology,29,0.0
97,maxClique,cycle_topology,29,0.0
98,maxClique,random_topology,29,0.0
99,maxClique,star_topology,29,0.0
100,maxCut,2d_grid_topology,29,0.0
101,maxCut,cycle_topology,29,0.0
102,maxCut,random_topology,29,0.0
103,maxCut,star_topology,29,0.0
104,mis,2d_grid_topology,29,0.0
105,mis,cycle_topology,29,0.0
106,mis,random_topology,29,0.0
107,mis,star_topology,29,0.0
108,mvc,2d_grid_topology,29,0.0
109,mvc,cycle_topology,29,0.0
110,mvc,random_topology,29,0.0
111,mvc,star_topology,29,0.0
112,setPack,almost_diagonal,29,0.0
113,setPack,disjoint_rows,29,0.0
114,setPack,random,29,0.0
115,setPack,steps,29,0.0
116,sudoku,sudoku0_n29,29,0.0
117,sudoku,sudoku11_n29,29,0.0
118,sudoku,sudoku13_n29,29,0.0
119,sudoku,sudoku16_n29,29,0.0
120,sudoku,sudoku17_n29,29,0.0
121,sudoku,sudoku21_n29,29,0.0
